Disease_Name,Crop_Host(s),Min_Optimal_Temp,Max_Optimal_Temp,Min_Optimal_Humidity,Max_Optimal_Humidity,Min_Rainfall_mm,Max_Rainfall_mm,Min_Soil_Moisture,Max_Soil_Moisture,Soil_pH_Preference,Other_Factors
Black Rot (Xanthomonas campestris pv. campestris),Turnip;Cabbage;Broccoli;Other Brassicas,25,30,85,95,15,35,45,75,6.0-7.5,"Warm, wet conditions; Rain splash; Wind; Spread via infected seed, transplants, debris; Enters through hydathodes"
Alternaria Leaf Spot (Alternaria brassicae/brassicicola),Turnip;Radish;Cabbage;Other Brassicas,20,30,85,98,15,35,40,70,5.5-7.0,"Moderate to warm temperatures; High humidity; Leaf wetness duration > 8 hours; Plant stress; Infected debris/seed"
Turnip Mosaic Virus (TuMV),Turnip;Mustard;Cabbage;Lettuce;Many Plants,15,25,50,80,5,25,30,65,6.0-7.5,"Aphid vector presence (non-persistent); Wide host range; Causes mosaic, stunting, necrosis"
Root Rot / Stem Rot (Fusarium oxysporum f.sp. vanillae),Vanilla,25,30,80,95,15,35,50,85,5.0-6.5,"Warm temperatures; High humidity; Poor drainage; Wounds; Soilborne/cutting-borne"
Anthracnose (Colletotrichum spp.),Vanilla,24,30,85,98,20,40,50,80,5.0-6.5,"Warm, humid conditions; Rain splash; Affects leaves, stems, beans (pods)"
Phytophthora Rot (Phytophthora spp.),Vanilla,22,28,90,100,20,45,60,90,5.0-6.5,"Warm, wet conditions; High humidity; Poor drainage; Affects roots, stems, leaves, beans"
Leaf Spot (Septoria spp.; Pestalotiopsis spp.),Vanilla,20,28,85,95,15,30,45,75,5.5-7.0,"Moderate temperatures; High humidity; Rain splash; Poor air circulation"
Leaf Spot (Cercospora spp.; Pseudocercospora spp.),Velvet Bean (Mucuna);Other Legumes,25,30,85,95,15,35,40,75,5.5-7.0,"Warm, humid conditions; High humidity; Rain splash; Dew; Infected seed or debris"
Rust (Uromyces mucunae),Velvet Bean (Mucuna),20,28,85,95,10,25,40,70,6.0-7.5,"Moderate temperatures; High humidity or dew required for infection; Wind dispersal"
Root Rot Complex (Rhizoctonia solani; Fusarium spp.),Velvet Bean (Mucuna);Other Legumes,20,30,75,95,15,35,50,85,5.5-7.0,"Poor drainage; Soil compaction; Plant stress; Infected soil or debris"
Anthracnose (Gnomonia leptostyla / Marssonina juglandis),Walnut,18,24,90,100,15,35,50,80,6.0-7.5,"Cool to moderate temperatures; High humidity/rain during leaf/nut development; Rain splash; Overwinters on leaves/twigs"
Walnut Blight (Xanthomonas arboricola pv. juglandis),Walnut,20,28,85,95,15,30,45,75,6.0-7.5,"Moderate temperatures; High humidity/rain during flowering and early nut development; Rain splash; Infects catkins, leaves, nuts"
Crown Gall (Agrobacterium tumefaciens),Walnut;Grape;Rose;Many Woody Plants,20,28,70,90,10,30,40,80,5.5-7.5,"Soilborne bacterium; Enters through wounds (planting, cultivation, insects); Causes galls on roots/crown"
Deep Bark Canker / Shallow Bark Canker (Brenneria spp. / Erwinia spp.),Walnut,15,25,80,95,10,25,40,70,6.0-7.5,"Cool, wet conditions; Bacterial ooze spreads via rain splash, tools; Enters through wounds"
Fusarium Wilt (Fusarium oxysporum f.sp. niveum),Watermelon,24,30,70,90,10,25,40,80,5.0-6.5,"Warm soil temperatures; Soilborne; Persists in soil for years; Acidic soils may favor; Races exist"
Anthracnose (Colletotrichum lagenarium/orbiculare),Watermelon;Cucumber;Melon;Squash,22,28,90,100,15,35,50,80,5.5-6.5,"Warm, humid, rainy weather; Rain splash; Infected seed or debris; Leaf wetness duration; Affects leaves, stems, fruit"
Gummy Stem Blight / Black Rot (Didymella bryoniae / Phoma cucurbitacearum),Watermelon;Cucumber;Melon;Squash,20,25,85,95,15,35,45,75,5.5-7.0,"Moderate temperatures; High humidity; Leaf wetness; Rain splash; Infected seed/debris; Wounds; Affects leaves, stems, fruit (black rot)"
Downy Mildew (Pseudoperonospora cubensis),Watermelon;Cucumber;Melon;Squash,15,23,85,100,10,30,50,80,6.0-7.0,"High humidity; Leaf wetness essential (dew, rain); Cool nights, warm days; Wind dispersal (long distances)"
Powdery Mildew (Podosphaera xanthii / Golovinomyces cichoracearum),Watermelon;Cucumber;Melon;Squash,20,30,60,90,5,20,30,60,6.0-7.5,"Moderate to high humidity (not free water); Poor air circulation; Reduced light"
Powdery Mildew (Podosphaera xanthii / Golovinomyces cichoracearum),Wax Gourd (Ash Gourd);Cucumber;Melon;Squash,20,30,60,90,5,20,30,60,6.0-7.5,"Moderate to high humidity (not free water); Poor air circulation; Reduced light; Both young and old leaves susceptible"
Downy Mildew (Pseudoperonospora cubensis),Wax Gourd (Ash Gourd);Cucumber;Melon;Squash,15,23,85,100,10,30,50,80,6.0-7.0,"High humidity; Leaf wetness essential (dew, rain); Favored by cool nights, warm days; Wind dispersal"
Anthracnose (Colletotrichum lagenarium/orbiculare),Wax Gourd (Ash Gourd);Cucumber;Watermelon;Melon,22,28,90,100,15,35,50,80,5.5-6.5,"Warm, humid, rainy weather; Rain splash; Infected seed or debris; Leaf wetness duration"
Gummy Stem Blight (Didymella bryoniae),Wax Gourd (Ash Gourd);Cucumber;Melon;Squash;Watermelon,20,25,85,95,15,35,45,75,5.5-7.0,"Moderate temperatures; High humidity; Leaf wetness; Rain splash; Infected seed/debris; Wounds"
Fusarium Wilt (Fusarium oxysporum f.sp. niveum/related),Wax Gourd (Ash Gourd);Watermelon;Melon,24,30,70,90,10,25,40,80,5.0-6.5,"Warm soil temperatures; Soilborne; Acidic soil can favor; Plant stress; Persists in soil"
Leaf Rust (Puccinia triticina / P. recondita f.sp. tritici),Wheat;Triticale,15,25,95,100,10,25,45,75,6.0-7.5,"Cool to moderate temperatures; High humidity/dew essential for infection; Wind dispersal"
Stem Rust (Puccinia graminis f.sp. tritici),Wheat;Triticale;Barberry (alternate host),20,30,95,100,10,25,45,75,6.0-7.5,"Warm temperatures; High humidity/dew essential for infection; Wind dispersal; Barberry needed for sexual cycle"
Stripe Rust / Yellow Rust (Puccinia striiformis f.sp. tritici),Wheat;Barley;Triticale,7,12,95,100,5,20,40,70,6.0-7.5,"Cool temperatures for infection, moderate for development; High humidity/dew essential for infection; Wind dispersal"
Powdery Mildew (Blumeria graminis f.sp. tritici),Wheat;Triticale;Barley,15,22,70,90,5,20,30,60,6.0-7.5,"Cool to moderate temperatures; High humidity (but not free water); Dense stands; High nitrogen fertilization"
Septoria Leaf Blotch / Glume Blotch (Septoria tritici / Parastagonospora nodorum),Wheat;Triticale;Spelt,15,25,85,100,15,35,50,80,5.5-7.5,"Cool to moderate temperatures (S. tritici) or warmer (P. nodorum); High humidity; Rain splash; Overwinters on residue/seed"
Fusarium Head Blight / Scab (Fusarium graminearum/spp.),Wheat;Barley;Oats;Maize,25,30,85,95,15,35,45,75,5.5-7.5,"Warm, wet, humid conditions during flowering; Rain splash; Wind dispersal; Overwinters on crop residue"
False Rust / Orange Gall (Synchytrium psophocarpi),Winged Bean,25,30,90,100,20,40,55,85,5.5-7.0,"Warm, humid conditions; High rainfall; Affects leaves, stems, pods causing bright orange galls"
Powdery Mildew (Erysiphe polygoni),Winged Bean;Other Legumes,20,28,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (not free water); Poor air circulation; Dense canopy"
Leaf Spot (Cercospora spp. / Pseudocercospora psophocarpi),Winged Bean,25,30,85,95,15,35,40,75,5.5-7.0,"Warm, humid conditions; High humidity; Rain splash; Dew; Infected seed or debris"
Root-Knot Nematodes (Meloidogyne spp.),Winged Bean;Many Legumes;Vegetables,25,30,60,85,10,30,40,75,5.0-7.0,"Warm soil temperatures; Sandy soils often favor; Affect root system causing galls, poor growth"
Anthracnose (Colletotrichum gloeosporioides f.sp. dioscoreae),Yam,26,30,90,100,20,40,50,80,5.0-6.5,"Warm temperatures; High humidity/rainfall; Affects leaves (blight) and stems; Wind/rain splash"
Yam Mosaic Virus (YMV - Potyvirus),Yam,20,32,50,80,5,25,30,65,5.5-7.5,"Aphid vector presence (non-persistent); Spread via infected tubers/seed yams; Mechanical transmission possible"
Leaf Spot (Cercospora spp.; Phyllosticta spp.),Yam,25,30,85,95,15,35,40,75,5.0-6.5,"Warm, humid conditions; Rain splash; Leaf wetness; Poor air circulation"
Bean Rust (Phakopsora pachyrhizi / P. meibomiae),Yam Bean (Jicama);Soybean;Other Legumes,20,28,90,100,10,25,45,75,5.5-7.5,"Moderate temperatures; High humidity/leaf wetness essential for infection (6+ hours); Wind dispersal"
Anthracnose (Colletotrichum spp.),Yam Bean (Jicama);Bean;Soybean,20,30,85,98,15,35,45,75,5.5-7.0,"Warm, humid conditions; Rain splash; Affects leaves, stems, pods"
Root Rot (Rhizoctonia solani; Fusarium spp.),Yam Bean (Jicama),20,30,75,95,15,35,50,85,5.5-7.0,"Poor drainage; Soil compaction; Plant stress; Infected soil or debris"
Powdery Mildew (Podosphaera xanthii / Golovinomyces cichoracearum),Zucchini;Squash;Cucumber;Melon,20,30,60,90,5,20,30,60,6.0-7.5,"Moderate to high humidity (not free water); Poor air circulation; Reduced light; Affects leaves, stems, petioles"
Downy Mildew (Pseudoperonospora cubensis),Zucchini;Squash;Cucumber;Melon,15,23,85,100,10,30,50,80,6.0-7.0,"High humidity; Leaf wetness essential (dew, rain); Cool nights, warm days; Wind dispersal (long distances)"
Gummy Stem Blight / Black Rot (Didymella bryoniae / Phoma cucurbitacearum),Zucchini;Squash;Cucumber;Melon,20,25,85,95,15,35,45,75,5.5-7.0,"Moderate temperatures; High humidity; Leaf wetness; Rain splash; Infected seed/debris; Wounds; Affects leaves, stems, fruit (blossom end rot phase)"
Phytophthora Blight (Phytophthora capsici),Zucchini;Squash;Pepper;Tomato,24,29,90,100,20,40,60,90,5.5-7.0,"Warm, wet conditions; Poorly drained soils; Waterlogged soil; Affects roots, crown, stems, leaves, fruit (rapid rot); Soilborne"



